halt_id,halt_diva,halt_kurz,halt_lang,halt_ist_aktiv
2434,1362,KAPF,"Zürich, Kapfstrasse",True
2435,708,DREI,"Zürich, Dreispitz",True
2436,3467,FMAT,"Binz bei Maur, Fridlimatt",True
2437,455,BERH,"Zürich, Berghaldenstrasse",True
2438,713,DRUS,"Zürich, Drusbergstrasse",True
2439,2737,UAFF,"Zürich, Unteraffoltern",True
2440,901,FRDR,"Zürich, Friedrichstrasse",True
2441,908,FROB,"Zürich, Frohburg",True
2442,1821,OBEW,"Zürich, Oberwiesenstrasse",True
2443,738,EBDO,"Ebmatingen, Dorf",True
2444,2836,WASE,"Zürich, Waserstrasse",True
2445,914,FRON,"Zürich, Fronwald",True
2446,6591,GAAN,"Effretikon, Garage Andres",True
2447,833,FELH,"Pfaffhausen, Feldhof",True
2448,490,BGAS,"Binz bei Maur, Gassacher",True
2449,1583,MLOR,"Ebmatingen, Looren",True
2450,1584,LOOR,"Zürich, Loorenstrasse",True
2451,3760,HALO,"Zürich, Hallenbad Oerlikon",True
2452,750,EGGL,"Fällanden, Eggler",True
2453,3764,MAXB,"Zürich, Max-Bill-Platz",True
2454,1000,GLAU,"Zürich, Glaubtenstrasse",True
2455,678,MDOR,"Maur, Dorf",True
2456,2688,TULP,"Zürich, Tulpenstrasse",True
2457,767,EINF,"Zürich, Einfangstrasse",True
2458,684,DORS,"Schwerzenbach ZH, Dorf",True
2459,947,FAEL,"Fällanden, Gemeindehaus",True
2460,694,DORF,"Zürich, Dorflinde",True
2461,1871,PFAF,"Pfaffhausen, Pfaffenstein",True
2462,1873,PMUE,"Pfaffhausen, Müseren",True
2463,888,FRIA,"Zürich, Friedackerstrasse",True
2464,1892,MPLA,"Maur, Platten",True
2465,2145,SAAT,"Zürich, Saatlenstrasse",True
2466,899,FWIT,"Zürich, Friedhof Witikon",True
2467,1403,MKIR,"Maur, Kirche",True
2468,2069,RIEG,"Zürich, Riedgraben",True
2469,6511,BAFS,"Zürich, Bahnhof Affoltern Süd",True
2470,1324,FAEI,"Fällanden, Industrie",True
2471,2335,SHUA,"Fällanden, Schützenhaus",True
2472,1160,HERB,"Zürich, Herbstweg",True
